Name: “Table 1 of 1 on page 14 of 24”,Name: “Table 1 of 1 on page 14 of 24”,Name: “Table 1 of 1 on page 14 of 24”,Name: “Table 1 of 1 on page 14 of 24”,Name: “Table 1 of 1 on page 14 of 24”,Name: “Table 1 of 1 on page 14 of 24”,Name: “Table 1 of 1 on page 14 of 24”,Name: “Table 1 of 1 on page 14 of 24”,Name: “Table 1 of 1 on page 14 of 24”,Name: “Table 1 of 1 on page 14 of 24”,Name: “Table 1 of 1 on page 14 of 24”,Name: “Table 1 of 1 on page 14 of 24”,Name: “Table 1 of 1 on page 14 of 24”,Name: “Table 1 of 1 on page 14 of 24”,Name: “Table 1 of 1 on page 14 of 24”,Name: “Table 1 of 1 on page 14 of 24”
Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14,Table: 14
,,,,,,,,,,,,,,,
"Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction",,,,,,,,,,
  Gilmerton Bridge,  Gilmerton Bridge,,,,,,,,,,,,,,
Year:  2012,,,,,,,,,,,,,,,
,,Gilmerton Bridge - Eastbound,Gilmerton Bridge - Eastbound,Gilmerton Bridge - Eastbound,,,,,,Gilmerton Bridge - Westbound,Gilmerton Bridge - Westbound,Gilmerton Bridge - Westbound,,,
Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0:00,11,10,14,14,14,33,37,0:00,9,9,15,14,12,33,53
1:00,7,7,9,10,11,25,33,1:00,5,7,9,9,8,22,38
2:00,6,7,9,9,8,22,24,2:00,5,5,5,7,7,18,42
3:00,7,5,7,6,7,14,17,3:00,5,5,7,6,6,12,23
4:00,19,19,18,24,21,15,12,4:00,18,17,16,16,19,12,12
5:00,286,294,291,296,291,53,36,5:00,316,328,313,335,318,42,24
6:00,742,740,697,727,706,119,74,6:00,852,895,858,877,826,90,56
7:00,"1,021","1,044","1,007","1,046",962,155,104,7:00,743,782,746,765,715,116,93
8:00,778,794,746,758,725,220,129,8:00,516,515,510,492,485,161,111
9:00,559,578,540,559,568,259,168,9:00,475,413,428,420,455,219,152
10:00,527,520,510,524,574,289,209,10:00,485,450,471,473,499,264,181
11:00,537,547,537,539,627,314,199,11:00,501,518,499,516,581,295,163
12:00,558,560,547,576,669,331,239,12:00,568,566,550,567,645,338,205
13:00,555,558,530,584,676,331,242,13:00,546,574,558,573,710,320,223
14:00,670,684,635,685,802,325,231,14:00,644,667,629,678,849,304,214
15:00,888,907,846,864,982,312,198,15:00,830,866,832,842,"1,042",287,218
16:00,"1,080","1,095","1,027","1,043","1,084",313,192,16:00,"1,088","1,064","1,017","1,126","1,284",293,208
17:00,839,908,806,869,888,307,187,17:00,"1,126","1,142","1,137","1,185","1,214",287,199
18:00,507,522,519,547,632,283,168,18:00,756,747,828,847,870,254,185
19:00,333,344,364,394,443,185,141,19:00,425,457,516,485,522,195,160
20:00,62,73,74,82,113,125,47,20:00,68,83,81,83,129,138,45
21:00,40,48,48,49,76,106,35,21:00,36,43,39,41,81,128,29
22:00,31,30,38,37,62,85,33,22:00,30,30,29,30,69,101,26
23:00,16,19,21,21,40,64,16,23:00,18,18,23,19,44,75,14
Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0:00,22,12,9,11,13,69,71,0:00,27,12,8,10,12,108,103
1:00,11,7,7,9,10,76,56,1:00,16,7,6,8,8,70,70
2:00,9,6,5,6,9,80,45,2:00,12,6,5,5,7,52,58
3:00,8,6,6,6,9,35,29,3:00,10,5,4,6,8,28,31
4:00,20,20,18,20,21,25,20,4:00,17,13,12,13,14,26,21
5:00,241,273,286,280,267,85,52,5:00,268,324,334,318,311,81,35
6:00,656,742,748,729,709,176,99,6:00,719,885,906,874,800,148,86
7:00,950,"1,075","1,105","1,091",991,239,150,7:00,699,823,840,833,797,192,158
8:00,736,858,892,860,783,312,189,8:00,476,569,563,528,527,261,192
9:00,523,574,578,569,571,384,294,9:00,396,442,425,429,453,339,277
10:00,484,508,528,509,564,428,344,10:00,427,449,480,450,482,400,356
11:00,510,525,532,527,617,484,315,11:00,481,497,505,501,561,462,305
12:00,541,541,550,547,634,502,397,12:00,528,555,573,564,612,519,362
13:00,532,549,554,562,655,482,398,13:00,548,559,580,565,652,516,410
14:00,617,648,645,663,746,464,374,14:00,636,653,675,667,776,526,409
15:00,795,900,888,899,956,455,327,15:00,781,856,844,873,988,532,409
16:00,949,"1,080","1,094","1,052","1,047",440,314,16:00,989,"1,087","1,104","1,106","1,174",508,404
17:00,722,862,850,888,823,404,301,17:00,956,"1,109","1,082","1,158","1,148",478,386
18:00,432,502,530,514,577,338,245,18:00,633,746,759,795,785,436,341
19:00,285,321,329,343,402,268,207,19:00,390,428,448,476,530,346,271
20:00,68,66,64,74,202,190,84,20:00,79,69,75,79,302,260,113
21:00,48,43,41,47,170,164,53,21:00,47,37,34,42,279,236,74
22:00,35,26,28,35,142,138,47,22:00,34,21,23,32,243,193,58
23:00,22,15,17,20,95,95,30,23:00,21,13,15,17,171,148,40
"Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.","Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.","Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.","Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.","Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.","Source:  HRTPO analysis of VDOT permanent count station data.  Summer is defined as June, July, and August.",,,,,,,,,,
